target_child_name,speaker_role,type,grouped_age_interval,start_age_in_months,num_senses,multiple_senses
Naima,Caregiver,nice+a,"(30,36]",30,3,TRUE
Naima,Caregiver,nice+a,"(36,42]",36,1,FALSE
Naima,Caregiver,nice+a,"(42,48]",42,2,TRUE
Naima,Caregiver,night+n,"(12,18]",12,3,TRUE
Naima,Caregiver,night+n,"(18,24]",18,4,TRUE
Naima,Caregiver,night+n,"(24,30]",24,3,TRUE
Naima,Caregiver,night+n,"(30,36]",30,3,TRUE
Naima,Caregiver,night+n,"(36,42]",36,1,FALSE
Naima,Caregiver,night+n,"(42,48]",42,1,FALSE
Naima,Caregiver,noisy+a,"(12,18]",12,2,TRUE
Naima,Caregiver,noisy+a,"(18,24]",18,1,FALSE
Naima,Caregiver,noisy+a,"(24,30]",24,1,FALSE
Naima,Caregiver,nose+n,"(12,18]",12,1,FALSE
Naima,Caregiver,nose+n,"(18,24]",18,1,FALSE
Naima,Caregiver,nose+n,"(24,30]",24,1,FALSE
Naima,Caregiver,nose+n,"(30,36]",30,2,TRUE
Naima,Caregiver,nose+n,"(36,42]",36,1,FALSE
Naima,Caregiver,now+r,"(12,18]",12,2,TRUE
Naima,Caregiver,now+r,"(18,24]",18,4,TRUE
Naima,Caregiver,now+r,"(24,30]",24,4,TRUE
Naima,Caregiver,now+r,"(30,36]",30,3,TRUE
Naima,Caregiver,now+r,"(36,42]",36,2,TRUE
Naima,Caregiver,now+r,"(42,48]",42,1,FALSE
Naima,Caregiver,nut+n,"(12,18]",12,1,FALSE
Naima,Caregiver,nut+n,"(18,24]",18,1,FALSE
Naima,Caregiver,nut+n,"(24,30]",24,1,FALSE
Naima,Caregiver,nut+n,"(30,36]",30,1,FALSE
Naima,Caregiver,off+r,"(12,18]",12,2,TRUE
Naima,Caregiver,off+r,"(18,24]",18,2,TRUE
Naima,Caregiver,off+r,"(24,30]",24,2,TRUE
Naima,Caregiver,off+r,"(30,36]",30,1,FALSE
Naima,Caregiver,off+r,"(36,42]",36,2,TRUE
Naima,Caregiver,off+r,"(42,48]",42,1,FALSE
Naima,Caregiver,old+a,"(12,18]",12,3,TRUE
Naima,Caregiver,old+a,"(18,24]",18,5,TRUE
Naima,Caregiver,old+a,"(24,30]",24,3,TRUE
Naima,Caregiver,old+a,"(30,36]",30,4,TRUE
Naima,Caregiver,old+a,"(36,42]",36,2,TRUE
Naima,Caregiver,on+r,"(12,18]",12,2,TRUE
Naima,Caregiver,on+r,"(18,24]",18,2,TRUE
Naima,Caregiver,on+r,"(24,30]",24,2,TRUE
Naima,Caregiver,on+r,"(30,36]",30,2,TRUE
Naima,Caregiver,open+a,"(18,24]",18,3,TRUE
Naima,Caregiver,open+a,"(30,36]",30,1,FALSE
Naima,Caregiver,open+a,"(42,48]",42,1,FALSE
Naima,Caregiver,open+v,"(12,18]",12,2,TRUE
Naima,Caregiver,open+v,"(18,24]",18,2,TRUE
Naima,Caregiver,open+v,"(24,30]",24,1,FALSE
Naima,Caregiver,open+v,"(30,36]",30,3,TRUE
Naima,Caregiver,open+v,"(36,42]",36,1,FALSE
Naima,Caregiver,orange+a,"(12,18]",12,1,FALSE
Naima,Caregiver,orange+a,"(18,24]",18,1,FALSE
Naima,Caregiver,orange+a,"(24,30]",24,1,FALSE
Naima,Caregiver,orange+a,"(30,36]",30,1,FALSE
Naima,Caregiver,orange+n,"(12,18]",12,1,FALSE
Naima,Caregiver,orange+n,"(18,24]",18,3,TRUE
Naima,Caregiver,orange+n,"(24,30]",24,1,FALSE
Naima,Caregiver,orange+n,"(30,36]",30,2,TRUE
Naima,Caregiver,out+r,"(12,18]",12,3,TRUE
Naima,Caregiver,out+r,"(18,24]",18,3,TRUE
Naima,Caregiver,out+r,"(24,30]",24,2,TRUE
Naima,Caregiver,out+r,"(30,36]",30,3,TRUE
Naima,Caregiver,out+r,"(36,42]",36,2,TRUE
Naima,Caregiver,out+r,"(42,48]",42,3,TRUE
Naima,Caregiver,outside+n,"(24,30]",24,1,FALSE
Naima,Caregiver,outside+n,"(30,36]",30,1,FALSE
Naima,Caregiver,outside+r,"(12,18]",12,2,TRUE
Naima,Caregiver,outside+r,"(18,24]",18,1,FALSE
Naima,Caregiver,outside+r,"(24,30]",24,2,TRUE
Naima,Caregiver,outside+r,"(30,36]",30,1,FALSE
Naima,Caregiver,outside+r,"(36,42]",36,1,FALSE
Naima,Caregiver,outside+r,"(42,48]",42,1,FALSE
Naima,Caregiver,oven+n,"(12,18]",12,1,FALSE
Naima,Caregiver,oven+n,"(18,24]",18,1,FALSE
Naima,Caregiver,oven+n,"(24,30]",24,1,FALSE
Naima,Caregiver,oven+n,"(30,36]",30,1,FALSE
Naima,Caregiver,over+r,"(12,18]",12,2,TRUE
Naima,Caregiver,over+r,"(18,24]",18,2,TRUE
Naima,Caregiver,over+r,"(24,30]",24,3,TRUE
Naima,Caregiver,over+r,"(30,36]",30,2,TRUE
Naima,Caregiver,over+r,"(36,42]",36,1,FALSE
Naima,Caregiver,over+r,"(42,48]",42,2,TRUE
Naima,Caregiver,owl+n,"(12,18]",12,1,FALSE
Naima,Caregiver,owl+n,"(18,24]",18,1,FALSE
Naima,Caregiver,owl+n,"(24,30]",24,1,FALSE
Naima,Caregiver,paint+n,"(12,18]",12,1,FALSE
Naima,Caregiver,paint+n,"(18,24]",18,1,FALSE
Naima,Caregiver,paint+n,"(24,30]",24,1,FALSE
Naima,Caregiver,paint+n,"(30,36]",30,1,FALSE
Naima,Caregiver,paint+n,"(42,48]",42,1,FALSE
Naima,Caregiver,paint+v,"(18,24]",18,3,TRUE
Naima,Caregiver,paint+v,"(30,36]",30,2,TRUE
Naima,Caregiver,pajama+n,"(12,18]",12,1,FALSE
Naima,Caregiver,pajama+n,"(18,24]",18,2,TRUE
Naima,Caregiver,pajama+n,"(24,30]",24,2,TRUE
Naima,Caregiver,pajama+n,"(30,36]",30,1,FALSE
Naima,Caregiver,pajama+n,"(36,42]",36,1,FALSE
Naima,Caregiver,pancake+n,"(18,24]",18,1,FALSE
Naima,Caregiver,pancake+n,"(24,30]",24,1,FALSE
Naima,Caregiver,pancake+n,"(30,36]",30,1,FALSE
Naima,Caregiver,pancake+n,"(36,42]",36,1,FALSE
Naima,Caregiver,pancake+n,"(42,48]",42,1,FALSE
Naima,Caregiver,paper+n,"(12,18]",12,3,TRUE
Naima,Caregiver,paper+n,"(18,24]",18,2,TRUE
Naima,Caregiver,paper+n,"(24,30]",24,3,TRUE
Naima,Caregiver,paper+n,"(30,36]",30,3,TRUE
Naima,Caregiver,paper+n,"(36,42]",36,1,FALSE
Naima,Caregiver,paper+n,"(42,48]",42,1,FALSE
Naima,Caregiver,park+n,"(12,18]",12,1,FALSE
Naima,Caregiver,park+n,"(18,24]",18,1,FALSE
Naima,Caregiver,party+n,"(12,18]",12,1,FALSE
Naima,Caregiver,party+n,"(18,24]",18,2,TRUE
Naima,Caregiver,party+n,"(24,30]",24,2,TRUE
Naima,Caregiver,party+n,"(30,36]",30,2,TRUE
Naima,Caregiver,party+n,"(36,42]",36,2,TRUE
Naima,Caregiver,pasta+n,"(18,24]",18,2,TRUE
Naima,Caregiver,pasta+n,"(24,30]",24,2,TRUE
Naima,Caregiver,pasta+n,"(36,42]",36,1,FALSE
Naima,Caregiver,pea+n,"(24,30]",24,2,TRUE
Naima,Caregiver,pen+n,"(12,18]",12,1,FALSE
Naima,Caregiver,pen+n,"(18,24]",18,1,FALSE
Naima,Caregiver,pen+n,"(24,30]",24,1,FALSE
Naima,Caregiver,pen+n,"(30,36]",30,1,FALSE
Naima,Caregiver,pencil+n,"(18,24]",18,1,FALSE
Naima,Caregiver,pencil+n,"(30,36]",30,1,FALSE
Naima,Caregiver,penguin+n,"(12,18]",12,1,FALSE
Naima,Caregiver,penguin+n,"(18,24]",18,1,FALSE
Naima,Caregiver,penguin+n,"(24,30]",24,1,FALSE
Naima,Caregiver,people+n,"(12,18]",12,1,FALSE
Naima,Caregiver,people+n,"(18,24]",18,1,FALSE
Naima,Caregiver,people+n,"(24,30]",24,1,FALSE
Naima,Caregiver,people+n,"(30,36]",30,1,FALSE
Naima,Caregiver,people+n,"(36,42]",36,1,FALSE
Naima,Caregiver,people+n,"(42,48]",42,1,FALSE
Naima,Caregiver,person+n,"(12,18]",12,2,TRUE
Naima,Caregiver,person+n,"(18,24]",18,2,TRUE
Naima,Caregiver,person+n,"(24,30]",24,1,FALSE
Naima,Caregiver,person+n,"(30,36]",30,1,FALSE
Naima,Caregiver,person+n,"(36,42]",36,1,FALSE
Naima,Caregiver,person+n,"(42,48]",42,1,FALSE
Naima,Caregiver,pick+v,"(12,18]",12,3,TRUE
Naima,Caregiver,pick+v,"(18,24]",18,2,TRUE
Naima,Caregiver,pick+v,"(24,30]",24,2,TRUE
Naima,Caregiver,pick+v,"(30,36]",30,3,TRUE
Naima,Caregiver,pick+v,"(36,42]",36,1,FALSE
Naima,Caregiver,pick+v,"(42,48]",42,1,FALSE
Naima,Caregiver,pickle+n,"(24,30]",24,1,FALSE
Naima,Caregiver,picnic+n,"(12,18]",12,1,FALSE
Naima,Caregiver,picnic+n,"(18,24]",18,1,FALSE
Naima,Caregiver,picnic+n,"(24,30]",24,1,FALSE
Naima,Caregiver,picture+n,"(12,18]",12,6,TRUE
Naima,Caregiver,picture+n,"(18,24]",18,4,TRUE
Naima,Caregiver,picture+n,"(24,30]",24,4,TRUE
Naima,Caregiver,picture+n,"(30,36]",30,5,TRUE
Naima,Caregiver,picture+n,"(36,42]",36,2,TRUE
Naima,Caregiver,picture+n,"(42,48]",42,2,TRUE
Naima,Caregiver,pig+n,"(12,18]",12,1,FALSE
Naima,Caregiver,pig+n,"(18,24]",18,1,FALSE
Naima,Caregiver,pig+n,"(24,30]",24,2,TRUE
Naima,Caregiver,pig+n,"(30,36]",30,1,FALSE
Naima,Caregiver,pig+n,"(36,42]",36,1,FALSE
Naima,Caregiver,pillow+n,"(12,18]",12,1,FALSE
Naima,Caregiver,pillow+n,"(18,24]",18,1,FALSE
Naima,Caregiver,pillow+n,"(24,30]",24,1,FALSE
Naima,Caregiver,pillow+n,"(30,36]",30,1,FALSE
Naima,Caregiver,pizza+n,"(18,24]",18,1,FALSE
Naima,Caregiver,pizza+n,"(24,30]",24,1,FALSE
Naima,Caregiver,pizza+n,"(30,36]",30,1,FALSE
Naima,Caregiver,plant+n,"(12,18]",12,1,FALSE
Naima,Caregiver,plant+n,"(18,24]",18,1,FALSE
Naima,Caregiver,plant+n,"(24,30]",24,1,FALSE
Naima,Caregiver,plant+n,"(30,36]",30,1,FALSE
Naima,Caregiver,plant+n,"(36,42]",36,1,FALSE
Naima,Caregiver,plant+v,"(24,30]",24,1,FALSE
Naima,Caregiver,plant+v,"(36,42]",36,1,FALSE
Naima,Caregiver,plate+n,"(18,24]",18,2,TRUE
Naima,Caregiver,plate+n,"(24,30]",24,2,TRUE
Naima,Caregiver,plate+n,"(30,36]",30,1,FALSE
Naima,Caregiver,play+n,"(12,18]",12,3,TRUE
Naima,Caregiver,play+n,"(18,24]",18,2,TRUE
Naima,Caregiver,play+n,"(24,30]",24,2,TRUE
Naima,Caregiver,play+n,"(30,36]",30,1,FALSE
Naima,Caregiver,play+n,"(42,48]",42,1,FALSE
Naima,Caregiver,play+v,"(12,18]",12,3,TRUE
Naima,Caregiver,play+v,"(18,24]",18,5,TRUE
Naima,Caregiver,play+v,"(24,30]",24,3,TRUE
Naima,Caregiver,play+v,"(30,36]",30,3,TRUE
Naima,Caregiver,play+v,"(36,42]",36,1,FALSE
Naima,Caregiver,play+v,"(42,48]",42,2,TRUE
Naima,Caregiver,police+n,"(18,24]",18,1,FALSE
Naima,Caregiver,police+n,"(24,30]",24,1,FALSE
Naima,Caregiver,police+n,"(30,36]",30,1,FALSE
Naima,Caregiver,police+n,"(42,48]",42,1,FALSE
Naima,Caregiver,pony+n,"(12,18]",12,2,TRUE
Naima,Caregiver,pony+n,"(18,24]",18,2,TRUE
Naima,Caregiver,pony+n,"(24,30]",24,2,TRUE
Naima,Caregiver,pool+n,"(18,24]",18,1,FALSE
Naima,Caregiver,pool+n,"(24,30]",24,1,FALSE
Naima,Caregiver,pool+n,"(36,42]",36,1,FALSE
Naima,Caregiver,popsicle+n,"(12,18]",12,1,FALSE
Naima,Caregiver,popsicle+n,"(24,30]",24,1,FALSE
Naima,Caregiver,potato+n,"(18,24]",18,2,TRUE
Naima,Caregiver,potato+n,"(24,30]",24,1,FALSE
Naima,Caregiver,potato+n,"(30,36]",30,2,TRUE
Naima,Caregiver,potato+n,"(36,42]",36,1,FALSE
Naima,Caregiver,potty+n,"(24,30]",24,2,TRUE
Naima,Caregiver,potty+n,"(30,36]",30,1,FALSE
Naima,Caregiver,pour+v,"(12,18]",12,1,FALSE
Naima,Caregiver,pour+v,"(18,24]",18,1,FALSE
Naima,Caregiver,pour+v,"(24,30]",24,3,TRUE
Naima,Caregiver,pour+v,"(30,36]",30,1,FALSE
Naima,Caregiver,present+n,"(18,24]",18,1,FALSE
Naima,Caregiver,present+n,"(24,30]",24,1,FALSE
Naima,Caregiver,present+n,"(30,36]",30,1,FALSE
Naima,Caregiver,present+n,"(36,42]",36,1,FALSE
Naima,Caregiver,pretend+a,"(12,18]",12,1,FALSE
Naima,Caregiver,pretend+a,"(18,24]",18,1,FALSE
Naima,Caregiver,pretend+a,"(24,30]",24,1,FALSE
Naima,Caregiver,pretend+a,"(30,36]",30,1,FALSE
Naima,Caregiver,pretend+a,"(42,48]",42,1,FALSE
Naima,Caregiver,pretend+v,"(18,24]",18,1,FALSE
Naima,Caregiver,pretend+v,"(24,30]",24,2,TRUE
Naima,Caregiver,pretend+v,"(30,36]",30,1,FALSE
Naima,Caregiver,pretend+v,"(36,42]",36,1,FALSE
Naima,Caregiver,pretty+a,"(12,18]",12,1,FALSE
